pass,input_tokens,output_tokens,cost_usd,cumulative_usd
1,1400000,350000,5.60,5.60
2,1320000,330000,5.28,10.88
3,1260000,315000,5.04,15.92
4,1200000,300000,4.80,20.72
5,565000,141250,2.26,22.98
6,565000,141250,2.26,25.24
7,565000,141250,2.26,27.50
8,565000,141250,2.26,29.76
9,565000,141250,2.26,32.02
10,565000,141250,2.26,34.28
11,565000,141250,2.26,36.54
12,565000,141250,2.26,38.80
13,565000,141250,2.26,41.06
14,565000,141250,2.26,43.32
15,565000,141250,2.26,45.58
16,565000,141250,2.26,47.84
17,565000,141250,2.26,50.10
18,565000,141250,2.26,52.36
19,565000,141250,2.26,54.62
20,565000,141250,2.26,56.88
21,565000,141250,2.26,59.14
22,565000,141250,2.26,61.40
23,565000,141250,2.26,63.66
24,565000,141250,2.26,65.92
25,565000,141250,2.26,68.18
26,565000,141250,2.26,70.44
27,565000,141250,2.26,72.70
28,565000,141250,2.26,74.96
29,565000,141250,2.26,77.22
30,565000,141250,2.26,79.48
31,565000,141250,2.26,81.74
32,565000,141250,2.26,84.00
33,565000,141250,2.26,86.26
34,565000,141250,2.26,88.52
35,565000,141250,2.26,90.78
36,565000,141250,2.26,93.04
37,565000,141250,2.26,95.30
38,565000,141250,2.26,97.56
39,565000,141250,2.26,99.82
40,565000,141250,2.26,102.08
41,565000,141250,2.26,104.34
42,565000,141250,2.26,106.60
43,565000,141250,2.26,108.86
44,565000,141250,2.26,111.12
45,565000,141250,2.26,113.38
46,565000,141250,2.26,115.64
47,565000,141250,2.26,117.90
48,565000,141250,2.26,120.16
49,565000,141250,2.26,122.42
50,565000,141250,2.26,124.68
51,565000,141250,2.26,126.94
52,565000,141250,2.26,129.20
53,565000,141250,2.26,131.46
54,565000,141250,2.26,133.72
55,565000,141250,2.26,135.98
56,565000,141250,2.26,138.24
57,565000,141250,2.26,140.50
58,565000,141250,2.26,142.76
59,565000,141250,2.26,145.02
60,565000,141250,2.26,147.28
61,565000,141250,2.26,149.54
62,565000,141250,2.26,151.80
63,565000,141250,2.26,154.06
64,565000,141250,2.26,156.32
65,565000,141250,2.26,158.58
66,565000,141250,2.26,160.84
67,565000,141250,2.26,163.10
68,565000,141250,2.26,165.36
69,565000,141250,2.26,167.62
70,565000,141250,2.26,169.88
71,565000,141250,2.26,172.14
72,565000,141250,2.26,174.40
73,565000,141250,2.26,176.66
74,565000,141250,2.26,178.92
75,565000,141250,2.26,181.18
76,565000,141250,2.26,183.44
77,565000,141250,2.26,185.70
78,565000,141250,2.26,187.96
79,565000,141250,2.26,190.22
80,565000,141250,2.26,192.48
81,565000,141250,2.26,194.74
82,565000,141250,2.26,197.00
83,565000,141250,2.26,199.26
84,565000,141250,2.26,201.52
85,565000,141250,2.26,203.78
86,565000,141250,2.26,206.04
87,565000,141250,2.26,208.30
88,565000,141250,2.26,210.56
89,565000,141250,2.26,212.82
90,565000,141250,2.26,215.08
91,565000,141250,2.26,217.34
