phase,finding_id,input_tokens,output_tokens,cost_usd,cumulative_usd
triage,VD-2026-001,20000,5000,0.08,0.08
triage,VD-2026-002,20000,5000,0.08,0.16
triage,VD-2026-003,20000,5000,0.08,0.24
triage,VD-2026-004,20000,5000,0.08,0.32
triage,VD-2026-005,20000,5000,0.08,0.40
triage,VD-2026-006,20000,5000,0.08,0.48
triage,VD-2026-007,20000,5000,0.08,0.56
triage,VD-2026-008,20000,5000,0.08,0.64
triage,VD-2026-009,20000,5000,0.08,0.72
triage,VD-2026-010,20000,5000,0.08,0.80
triage,VD-2026-011,20000,5000,0.08,0.88
triage,VD-2026-012,20000,5000,0.08,0.96
triage,VD-2026-013,20000,5000,0.08,1.04
triage,VD-2026-014,20000,5000,0.08,1.12
triage,VD-2026-015,20000,5000,0.08,1.20
triage,VD-2026-016,20000,5000,0.08,1.28
triage,VD-2026-017,20000,5000,0.08,1.36
triage,VD-2026-018,20000,5000,0.08,1.44
triage,VD-2026-019,20000,5000,0.08,1.52
triage,VD-2026-020,20000,5000,0.08,1.60
triage,VD-2026-021,20000,5000,0.08,1.68
triage,VD-2026-022,20000,5000,0.08,1.76
triage,VD-2026-023,20000,5000,0.08,1.84
reproduce,VD-2026-001,300000,75000,1.20,3.04
reproduce,VD-2026-002,300000,75000,1.20,4.24
reproduce,VD-2026-003,300000,75000,1.20,5.44
reproduce,VD-2026-004,300000,75000,1.20,6.64
reproduce,VD-2026-005,300000,75000,1.20,7.84
reproduce,VD-2026-006,300000,75000,1.20,9.04
reproduce,VD-2026-007,300000,75000,1.20,10.24
reproduce,VD-2026-008,300000,75000,1.20,11.44
reproduce,VD-2026-009,300000,75000,1.20,12.64
reproduce,VD-2026-021,300000,75000,1.20,13.84
reproduce,VD-2026-022,300000,75000,1.20,15.04
reproduce,VD-2026-023,300000,75000,1.20,16.24
verify,VD-2026-001,100000,25000,0.40,16.64
verify,VD-2026-002,100000,25000,0.40,17.04
verify,VD-2026-003,100000,25000,0.40,17.44
verify,VD-2026-004,100000,25000,0.40,17.84
verify,VD-2026-005,100000,25000,0.40,18.24
verify,VD-2026-006,100000,25000,0.40,18.64
verify,VD-2026-007,100000,25000,0.40,19.04
verify,VD-2026-008,100000,25000,0.40,19.44
verify,VD-2026-009,100000,25000,0.40,19.84
verify,VD-2026-021,100000,25000,0.40,20.24
verify,VD-2026-022,100000,25000,0.40,20.64
verify,VD-2026-023,100000,25000,0.40,21.04
