pass,input_tokens,output_tokens,cost_usd,cumulative_usd
1,100000,25000,0.40,0.40
2,7500,1875,0.03,0.43
3,7500,1875,0.03,0.46
4,7500,1875,0.03,0.49
5,7500,1875,0.03,0.52
6,7500,1875,0.03,0.55
7,7500,1875,0.03,0.58
8,7500,1875,0.03,0.61
9,7500,1875,0.03,0.64
10,7500,1875,0.03,0.67
11,7500,1875,0.03,0.70
12,7500,1875,0.03,0.73
13,7500,1875,0.03,0.76
14,7500,1875,0.03,0.79
15,7500,1875,0.03,0.82
16,7500,1875,0.03,0.85
17,7500,1875,0.03,0.88
18,7500,1875,0.03,0.91
19,7500,1875,0.03,0.94
20,7500,1875,0.03,0.97
21,7500,1875,0.03,1.00
22,7500,1875,0.03,1.03
23,7500,1875,0.03,1.06
24,7500,1875,0.03,1.09
25,7500,1875,0.03,1.12
26,7500,1875,0.03,1.15
27,7500,1875,0.03,1.18
28,7500,1875,0.03,1.21
29,7500,1875,0.03,1.24
30,7500,1875,0.03,1.27
31,7500,1875,0.03,1.30
32,7500,1875,0.03,1.33
33,7500,1875,0.03,1.36
34,7500,1875,0.03,1.39
35,7500,1875,0.03,1.42
36,7500,1875,0.03,1.45
37,7500,1875,0.03,1.48
38,7500,1875,0.03,1.51
39,7500,1875,0.03,1.54
40,7500,1875,0.03,1.57
41,7500,1875,0.03,1.60
42,7500,1875,0.03,1.63
43,7500,1875,0.03,1.66
44,7500,1875,0.03,1.69
45,7500,1875,0.03,1.72
46,7500,1875,0.03,1.75
47,7500,1875,0.03,1.78
48,7500,1875,0.03,1.81
49,7500,1875,0.03,1.84
50,7500,1875,0.03,1.87
51,7500,1875,0.03,1.90
52,7500,1875,0.03,1.93
53,7500,1875,0.03,1.96
54,7500,1875,0.03,1.99
55,7500,1875,0.03,2.02
56,7500,1875,0.03,2.05
57,7500,1875,0.03,2.08
58,7500,1875,0.03,2.11
59,7500,1875,0.03,2.14
60,7500,1875,0.03,2.17
61,7500,1875,0.03,2.20
62,62500,15625,0.25,2.45
